ABBREV_STATE,APO_N,DATE
AC,0,2024-07-04
AL,0,2024-07-04
AP,0,2024-07-04
AM,0,2024-07-04
BA,9445,2024-07-04
CE,133,2024-07-04
DF,4691,2024-07-04
ES,0,2024-07-04
GO,2395,2024-07-04
MA,0,2024-07-04
MT,0,2024-07-04
MS,0,2024-07-04
MG,0,2024-07-04
PA,0,2024-07-04
PB,0,2024-07-04
PR,7193,2024-07-04
PE,2011,2024-07-04
PI,0,2024-07-04
RJ,3497,2024-07-04
RN,3205,2024-07-04
RS,181,2024-07-04
RO,0,2024-07-04
RR,0,2024-07-04
SC,0,2024-07-04
SP,32085,2024-07-04
SE,523,2024-07-04
TO,0,2024-07-04
AC,0,2024-07-05
AL,0,2024-07-05
AP,0,2024-07-05
AM,0,2024-07-05
BA,9541,2024-07-05
CE,133,2024-07-05
DF,4680,2024-07-05
ES,0,2024-07-05
GO,2457,2024-07-05
MA,0,2024-07-05
MT,0,2024-07-05
MS,0,2024-07-05
MG,0,2024-07-05
PA,0,2024-07-05
PB,0,2024-07-05
PR,7193,2024-07-05
PE,2751,2024-07-05
PI,0,2024-07-05
RJ,3756,2024-07-05
RN,3223,2024-07-05
RS,181,2024-07-05
RO,0,2024-07-05
RR,0,2024-07-05
SC,0,2024-07-05
SP,32692,2024-07-05
SE,523,2024-07-05
TO,0,2024-07-05
AC,0,2024-07-08
AL,0,2024-07-08
AP,0,2024-07-08
AM,0,2024-07-08
BA,9571,2024-07-08
CE,133,2024-07-08
DF,4680,2024-07-08
ES,0,2024-07-08
GO,2473,2024-07-08
MA,0,2024-07-08
MT,0,2024-07-08
MS,0,2024-07-08
MG,0,2024-07-08
PA,0,2024-07-08
PB,0,2024-07-08
PR,7193,2024-07-08
PE,3100,2024-07-08
PI,0,2024-07-08
RJ,4041,2024-07-08
RN,3262,2024-07-08
RS,181,2024-07-08
RO,0,2024-07-08
RR,0,2024-07-08
SC,0,2024-07-08
SP,32773,2024-07-08
SE,523,2024-07-08
TO,0,2024-07-08
