UF	VV	VV05	EV	EV01
AC	434.253	"2.171,3"	455.438	"455,4"
AL	1.650.763	"8.253,8"	1.802.791	"1.802,8"
AM	1.976.477	"9.882,4"	2.110.875	"2.110,9"
AP	423.017	"2.115,1"	442.101	"442,1"
BA	7.958.431	"39.792,2"	8.866.458	"8.866,5"
CE	5.108.239	"25.541,2"	5.623.450	"5.623,5"
DF	1.607.519	"8.037,6"	1.807.484	"1.807,5"
ES	2.084.430	"10.422,2"	2.311.629	"2.311,6"
GO	3.439.644	"17.198,2"	3.807.191	"3.807,2"
MA	3.706.498	"18.532,5"	3.918.212	"3.918,2"
MG	11.181.098	"55.905,5"	12.643.691	"12.643,7"
MS	1.374.808	"6.874,0"	1.552.654	"1.552,7"
MT	1.730.277	"8.651,4"	1.889.012	"1.889,0"
PA	4.521.516	"22.607,6"	4.785.272	"4.785,3"
PB	2.207.935	"11.039,7"	2.551.876	"2.551,9"
PE	4.969.863	"24.849,3"	5.732.289	"5.732,3"
PI	1.957.483	"9.787,4"	2.114.006	"2.114,0"
PR	6.038.642	"30.193,2"	6.815.689	"6.815,7"
RJ	8.575.988	"42.879,9"	9.893.658	"9.893,7"
RN	1.864.825	"9.324,1"	2.086.722	"2.086,7"
RO	869.148	"4.345,7"	925.763	"925,8"
RR	291.714	"1.458,6"	304.319	"304,3"
RS	6.149.822	"30.749,1"	6.883.341	"6.883,3"
SC	3.969.848	"19.849,2"	4.471.619	"4.471,6"
SE	1.191.617	"5.958,1"	1.362.604	"1.362,6"
SP	23.294.479	"116.472,4"	27.147.847	"27.147,8"
TO	830.14	"4.150,7"	889.58	"889,6"
